名称,レア度,タイプ,主属性,副属性,攻撃,体力,回復,とっくん,出典,リダ攻倍率,倍率スキル,付与できる状態異常,スキル,リーダースキル,とくもり,きらめきオーラ
幾星学園のラフィソル,★6,かいふく,紫,緑,2200,4320,2000,なし,シート,4.2,与ダメアップ×4.0; ブーストエリア×3.0,,3ターンの間、ネクストぷよをむらさきぷよに変える さらに3ターンの間、味方全体の相手に与えるダメージを4倍にし、フィールド上にむらさきぷよが9個以上存在する場合、このカードのみ倍率を700％アップする,味方全体の攻撃力を4.2倍、体力を3.2倍にし、通常攻撃時のみみどりぷよを消した場合、味方全体のスキル発動ぷよ数を4個減らす さらになぞり消し数を2個増やす,,
幾星学園のラフィソル,★7,かいふく,紫,緑,4830,10412,3900,込み,シート,5.4,与ダメアップ×5.0; ブーストエリア×3.0,,3ターンの間、ネクストぷよをむらさきぷよに変える さらに3ターンの間、味方全体の相手に与えるダメージを5倍にし、フィールド上にむらさきぷよが9個以上存在する場合、このカードのみ倍率を700％アップする,味方全体の攻撃力を5.4倍、体力を3.5倍にし、通常攻撃時のみみどりぷよを消した場合、味方全体のスキル発動ぷよ数を5個減らす さらになぞり消し数を3個増やす,①クエスト出発時1回のみ2ターンの間、味方ターン終了時、ネクストぷよをランダムで3個「プラス状態」に変える ②味方全体のとくもりクリティカルの発動率をこのカードのとくもりクリティカルLv.×5％アップする(このとくもりスキルは重複可能),
幾星学園のラフィーナ,★6,こうげき,黄,青,2640,4350,330,なし,シート,4.2,指定属性被ダメアップ×4.6; ブーストエリア×3.0,,味方全体の状態異常を解除し、3ターンの間、相手全体が受ける黄、青属性ダメージを4.6倍にする さらにフィールド上の色ぷよ、ハートBOX、おじゃまぷよ、かたぷよを10個まできいろぷよにぬりかえる,味方全体の攻撃力を4.2倍、体力を3.2倍にし、通常攻撃時のみあおぷよを消した場合、味方全体のスキル発動ぷよ数を4個減らす さらになぞり消し数を2個増やす,,
幾星学園のラフィーナ,★7,こうげき,黄,青,5974,9916,1104,込み,シート,5.2,指定属性被ダメアップ×5.6; ブーストエリア×3.0; クリティカル倍率up×1.3,,味方全体の状態異常を解除し、3ターンの間、相手全体が受ける黄、青属性ダメージを5.6倍にする さらにフィールド上の色ぷよ、ハートBOX、おじゃまぷよ、かたぷよを12個まできいろぷよにぬりかえる,味方全体の攻撃力を5.2倍、体力を3.5倍にし、通常攻撃時のみあおぷよを消した場合、味方全体のスキル発動ぷよ数を5個減らす さらになぞり消し数を3個増やす,①クエスト出発時とステージ移動時フィールド上の色ぷよをランダムで5個「プラス状態」に変える ②味方全体のとくもりクリティカルのダメージアップ倍率をこのカードのとくもりクリティカルLv.×3％アップする(このとくもりスキルは重複可能),
幾星学園のリデル,★6,たいりょく,緑,紫,2290,5390,350,なし,シート,4.2,攻撃エンハ×9.0; ブーストエリア×3.0,,3ターンの間、このカードとこのカードに隣接するカードの攻撃力を9倍にし、ネクストぷよを全て「プラス状態」にする さらに相手が状態異常の場合、状態異常のターン数を＋1する,味方全体の攻撃力を4.2倍、体力を3.2倍にし、通常攻撃時のみむらさきぷよを消した場合、味方全体のスキル発動ぷよ数を4個減らす さらになぞり消し数を2個増やす,,
幾星学園のリデル,★7,たいりょく,緑,紫,4841,12663,1172,込み,シート,5.2,攻撃エンハ×10.0; ブーストエリア×3.0; クリティカル倍率up×1.3,,3ターンの間、このカードとこのカードに隣接するカードの攻撃力を10倍にし、ネクストぷよを全て「プラス状態」にする さらに相手が状態異常の場合、状態異常のターン数を＋2する,味方全体の攻撃力を5.2倍、体力を3.5倍にし、通常攻撃時のみむらさきぷよを消した場合、味方全体のスキル発動ぷよ数を5個減らす さらになぞり消し数を3個増やす,①クエスト出発時1回のみ2ターンの間、味方ターン終了時、ネクストぷよをランダムで3個「プラス状態」に変える ②味方全体のとくもりクリティカルのダメージアップ倍率をこのカードのとくもりクリティカルLv.×3％アップする(このとくもりスキルは重複可能),
幾星学園のルルー,★6,かいふく,赤,紫,2230,4310,2010,なし,シート,4.2,攻撃エンハ×9.0; ブーストエリア×3.0,,味方全体の状態異常を解除し、3ターンの間、このカードとこのカードに隣接するカードの攻撃力を9倍にする さらにフィールドをリセットし、その直後に落ちてくる色ぷよを連鎖のタネに変える,味方全体の攻撃力を4.2倍、体力を3.2倍にし、通常攻撃時のみむらさきぷよを消した場合、味方全体のスキル発動ぷよ数を4個減らす さらになぞり消し数を2個増やす,,
幾星学園のルルー,★7,かいふく,赤,紫,4872,10396,3916,込み,シート,5.2,攻撃エンハ×10.0; ブーストエリア×3.0; クリティカル倍率up×1.3,,味方全体の状態異常を解除し、3ターンの間、このカードとこのカードに隣接するカードの攻撃力を10倍にする さらにフィールドをリセットし、その直後に落ちてくる色ぷよを連鎖のタネに変える,味方全体の攻撃力を5.2倍、体力を3.5倍にし、通常攻撃時のみむらさきぷよを消した場合、味方全体のスキル発動ぷよ数を5個減らす さらになぞり消し数を3個増やす,①なぞり消し数を2個増やす ②味方全体のとくもりクリティカルのダメージアップ倍率をこのカードのとくもりクリティカルLv.×3％アップする(このとくもりスキルは重複可能),
幾星学園のレムレス,★6,バランス,緑,赤,2310,4320,1050,なし,シート,4.2,指定属性被ダメアップ×4.6; ブーストエリア×3.0,,3ターンの間、相手全体が受ける緑、赤属性ダメージを4.6倍にする さらにフィールド上の色ぷよを8個まで「プラス状態」にぬりかえ、味方全体の最大体力の40％を回復する,味方全体の攻撃力を4.2倍、体力を3.2倍にし、通常攻撃時のみあかぷよを消した場合、味方全体のスキル発動ぷよ数を4個減らす さらになぞり消し数を2個増やす,,
幾星学園のレムレス,★7,バランス,緑,赤,5100,9980,2118,込み,シート,5.4,指定属性被ダメアップ×5.6; ブーストエリア×3.0; クリティカル倍率up×1.4,,3ターンの間、相手全体が受ける緑、赤属性ダメージを5.6倍にする さらにフィールド上の色ぷよを10個まで「プラス状態」にぬりかえ、味方全体の最大体力の50％を回復する,味方全体の攻撃力を5.4倍、体力を3.5倍にし、通常攻撃時のみあかぷよを消した場合、味方全体のスキル発動ぷよ数を5個減らす さらになぞり消し数を3個増やす,①なぞり消し数を2個増やす ②味方全体のとくもりクリティカルのダメージアップ倍率をこのカードのとくもりクリティカルLv.×4％アップする(このとくもりスキルは重複可能),
影のあるサンタ,★6,たいりょく,緑,,,,,,シート,3.8,,,相手全体を3ターンの間、「やどり木」「まやかし」状態にする さらに3ターンの間、なぞり消し数を5個増やし、同時消し係数を5倍にする,緑属性カードと赤属性カードの攻撃力を3.8倍、体力を3倍にし、なぞり消し数を1個増やす さらにクエスト出発時緑属性カードと赤属性カードの初回スキル発動ぷよ数を3減らす,,
影冠のラフィソル,★6,かいふく,青,紫,2190,4310,2010,なし,シート,3.8,n連鎖以上×4.2,,2ターンの間、3連鎖以上で味方全体の攻撃力を4.2倍にする さらにフィールドをリセットし、その直後に落ちてくる色ぷよを連鎖のタネに変える,味方全体の攻撃力を3.8倍、体力を3倍、回復力を2倍にし、相手のターン終了時にフィールド上の色ぷよをランダムで1個ハートBOXに変える 通常攻撃時のみハートBOXを消した場合、味方全体のスキル発動ぷよ数を4個減らす,,
影冠のラフィソル,★7,かいふく,青,紫,4816,10396,3916,込み,シート,4.8,n連鎖以上×5.2,,2ターンの間、2連鎖以上で味方全体の攻撃力を5.2倍にする さらにフィールドをリセットし、その直後に落ちてくる色ぷよを連鎖のタネに変える,味方全体の攻撃力を4.8倍、体力を3.5倍、回復力を2.5倍にし、相手のターン終了時にフィールド上の色ぷよをランダムで1個ハートBOXに変える 通常攻撃時のみハートBOXを消した場合、味方全体のスキル発動ぷよ数を5個減らす,,
影山飛雄,★6,バランス,紫,,2120,3800,760,なし,シート,2.7,攻撃エンハ×7.0,,1ターンの間、このカードとこのカードに隣接するカードの攻撃力を7倍にする,味方全体の攻撃力と体力を2.7倍にし、さらに一度に消せるぷよ数を2個増やす,,
影山飛雄,★7,バランス,紫,,4524,8600,1607,込み,シート,3.2,攻撃エンハ×8.0,,1ターンの間、このカードとこのカードに隣接するカードの攻撃力を8倍にする,味方全体の攻撃力と体力を3.2倍にし、さらに一度に消せるぷよ数を3個増やす,,
徳川カズヤ,★6,バランス,紫,,2080,3890,640,なし,シート,3.0,,,相手単体に紫属性カードがフィールド上の色ぷよの数×「こうげき」×1の属性攻撃を与え、フィールドをリセットする,紫属性カードの攻撃力を3倍、体力を2.5倍にし、体力が0になっても1回のみ「体力1」で踏みとどまる クエスト出発時紫属性カードの初回スキル発動ぷよ数を2減らす,,
徳川カズヤ,★7,バランス,紫,,4466,8735,1444,込み,シート,3.5,,,相手単体に紫属性カードがフィールド上の色ぷよの数×「こうげき」×1.2の属性攻撃を与え、フィールドをリセットする,紫属性カードの攻撃力を3.5倍、体力を3倍にし、体力が0になっても1回のみ「体力1」で踏みとどまる さらにクエスト出発時紫属性カードの初回スキル発動ぷよ数を3減らす,,
忍者シェゾ,★6,バランス,紫,,2769,5340,1089,込み,シート,1.0,,,相手の右から左に突き抜ける 20000の無属性ダメージ,バランスタイプの攻撃力を2000アップ,,
志村新八,★6,バランス,緑,,1890,3720,720,なし,シート,2.5,,,相手単体に緑属性カードとバランスタイプの「こうげき」の合計×10の属性攻撃,緑属性カードとバランスタイプの攻撃力と体力を2.5倍にし、9個以上の同時消しでネクストぷよをランダムで2個みどりぷよに変える,,
志村新八,★7,バランス,緑,,4191,8481,1552,込み,シート,3.0,,,相手単体に緑属性カードとバランスタイプの「こうげき」の合計×15の属性攻撃,緑属性カードとバランスタイプの攻撃力と体力を3倍にし、9個以上の同時消しでネクストぷよをランダムで3個みどりぷよに変える,,
志村新八 ver.クルーク,★6,こうげき,緑,,1916,3570,216,なし,シート,2.5,,怒り×2,相手単体にこのカードの「こうげき」×5の属性攻撃を与え、3ターンの間、「怒り」状態にする,緑属性カードの攻撃力と体力を2.5倍にする,,
志村新八 ver.クルーク,★7,こうげき,緑,,4465,7666,745,込み,シート,3.0,,怒り×2,相手全体にこのカードの「こうげき」×15の属性攻撃を与え、4ターンの間、「怒り」状態にする,味方全体の攻撃力と体力を3倍にし、クエスト出発時味方の初回スキル発動ぷよ数を5減らす,,
応援団,★6,たいりょく,,,,,,,シート,3.2,,,,自属性カードの体力を1.5倍、攻撃力を3.2倍にする,,
応援団,★7,たいりょく,,,,,,,シート,4.2,,,,自属性カードの攻撃力を4.2倍、体力を2.5倍にする,,
怪盗キッド,★6,こうげき,青,紫,2155,3626,300,なし,シート,2.0,,,3ターンの間、青属性カードのみどの色の連鎖でも攻撃するようになる（通常攻撃のみ）,青属性カードの攻撃力を2倍、体力を2.3倍にし、味方ターン終了時に、このカードが自分の攻撃力×2の追加全体攻撃 ※バトルでの追撃は1体のみ,,
怪盗キッド,★7,こうげき,青,紫,4897,8248,947,込み,シート,2.5,,,3ターンの間、青属性カードのみどの色の連鎖でも攻撃するようになる（通常攻撃のみ）,青属性カードの攻撃力を2.5倍、体力を2.8倍にし、味方ターン終了時に、このカードが自分の攻撃力×2の追加全体攻撃 ※バトルでの追撃は1体のみ,,
怪盗マドレーヌ,★6,たいりょく,緑,黄,2220,5230,320,なし,シート,3.5,攻撃エンハ×3.5,,1ターンの間、緑属性カードとたいりょくタイプの攻撃力を3.5倍にし、さらに相手単体にこのカードの「こうげき」×5の属性攻撃を与え、2回「混乱」状態にする,緑属性カードとたいりょくタイプの攻撃力を3.5倍、体力を3倍、回復力を1.5倍にし、通常攻撃時のみハートBOXを1個消すごとにスキル発動ぷよ数を1減らす,,
怪盗マドレーヌ,★7,たいりょく,緑,黄,4696,12292,1111,込み,シート,4.5,攻撃エンハ×4.5,,1ターンの間、緑属性カードとたいりょくタイプの攻撃力を4.5倍にし、さらに相手単体にこのカードの「こうげき」×10の属性攻撃を与え、3回「混乱」状態にする,緑属性カードとたいりょくタイプの攻撃力を4.5倍、体力を3.5倍、回復力を1.5倍にし、通常攻撃時のみハートBOXを1個消すごとにスキル発動ぷよ数を1減らす,,
恋するしろいマール,★6,バランス,黄,青,1890,3650,750,なし,シート,3.0,与ダメアップ×3.0,,2ターンの間、黄属性カードとバランスタイプの相手に与えるダメージを3倍にし、最大体力の40％を自動回復,黄属性カードとバランスタイプの攻撃力を3倍、体力を2.5倍にし、相手のターン終了時にフィールド上の色ぷよをランダムで1個ハートBOXに変える 通常攻撃時のみハートBOXを消した場合、黄属性カードとバランスタイプのスキル発動ぷよ数を2個減らす,,
恋するしろいマール,★7,バランス,黄,青,4441,8875,1693,込み,シート,3.5,与ダメアップ×3.5,,2ターンの間、黄属性カードとバランスタイプの相手に与えるダメージを3.5倍にし、最大体力の50％を自動回復,黄属性カードとバランスタイプの攻撃力を3.5倍、体力を3倍にし、相手のターン終了時にフィールド上の色ぷよをランダムで1個ハートBOXに変える 通常攻撃時のみハートBOXを消した場合、黄属性カードとバランスタイプのスキル発動ぷよ数を3個減らす,,
恋するアリィ・S,★6,バランス,紫,緑,2806,5446,1297,込み,シート,2.0,,,フィールド上の紫以外の色ぷよを ランダムで3種類むらさきぷよにし その後の盤面にハートBOXを1個生成する,スタメンのカードが2色以上から1色増えるごとに 全属性の体力と攻撃力の倍率に0.25倍プラス,,
恋するエルマ・S,★6,たいりょく,紫,黄,2467,6801,513,込み,シート,2.0,,,紫属性カードが各カードの最大「たいりょく」×20の単体属性攻撃,紫属性カードの攻撃力を2倍、体力を3倍にする,,
恋するセリリ,★6,こうげき,青,,2585,4160,558,込み,シート,1.0,,,ランダムでフィールド上の どれか一段をすべてあおぷよに変化させる,青属性カードの攻撃を、通常攻撃に限り タフネス貫通攻撃にする,,
恋するフェーリ,★6,こうげき,紫,,1882,3285,257,なし,シート,2.5,,,相手単体を中心にこのカードの「こうげき」×80の爆裂属性攻撃,味方全体の攻撃力と体力を2.5倍にする,,
恋するフェーリ,★7,こうげき,紫,,4411,7245,795,込み,シート,3.0,,,相手単体を中心にこのカードの「こうげき」×150の爆裂属性攻撃,味方全体の攻撃力と体力を3倍にする,,
恋するペルヴィス・S,★6,こうげき,紫,赤,2800,4567,682,込み,シート,1.8,,,スタメンのカードが各カードの「こうげき」 ×スタメンの属性数×0.5の単体属性攻撃,味方全体の攻撃タイプの 攻撃力と回復力が1.8倍になる,,
恋するマール,★6,かいふく,青,赤,1240,3990,1500,なし,シート,3.0,,,2ターンの間、ネクストぷよをあおぷよに変え、通常攻撃時のみ青属性カードと赤属性カードのあおぷよ、あかぷよを消したときに発生する数値を4倍にする,青属性カードと赤属性カードの攻撃力を3倍、体力を2.5倍にし体力が0になっても1回のみ「体力1」で踏みとどまる さらにクエスト出発時青属性カードと赤属性カードの初回スキル発動ぷよ数を2減らす,,
恋するマール,★7,かいふく,青,赤,2936,8784,2960,込み,シート,3.5,,,2ターンの間、ネクストぷよをあおぷよに変え、通常攻撃時のみ青属性カードと赤属性カードのあおぷよ、あかぷよを消したときに発生する数値を4.5倍にする,青属性カードと赤属性カードの攻撃力を3.5倍、体力を3倍にし体力が0になっても1回のみ「体力1」で踏みとどまる さらにクエスト出発時青属性カードと赤属性カードの初回スキル発動ぷよ数を3減らす,,
恋するルルー,★6,こうげき,赤,,1502,3249,312,なし,シート,1.0,,,味方の体力をすべて1にして、 減った体力×6で全員が単体攻撃,味方全体の攻撃タイプの回復力が1.8倍になる,,
恋するルルー,★7,こうげき,赤,,3803,7192,862,込み,シート,1.0,,,味方全体の体力を1まで減らし、相手単体に味方全体が「減らした体力」×50の属性攻撃,味方全体の体力を3.5倍、回復力を2.5倍にする,,
恋の使者,★6,かいふく,,,,,,,シート,1.0,,,フィールド上の不利色ぷよを全て自色ぷよに、 ○ぷよを6個ハートBOXに変化させる,スタメンの自属性カードが2枚以上から1枚増えるごとに 自属性の回復力倍率に0.3倍プラス,,
恋の使者,★7,かいふく,,,,,,,シート,1.0,,,フィールド上の不利色ぷよを全て自色ぷよに、 ○ぷよをすべてハートBOXに変化させる,スタメンの自属性カードが2枚以上から1枚増えるごとに 自属性の体力倍率に0.2プラス（最大2倍）回復力倍率に0.5倍プラス（最大3.5倍）,,
悪魔ほむら,★6,こうげき,紫,赤,2640,4300,300,なし,シート,4.2,,,2ターンの間、ネクストぷよをむらさきぷよに変え、通常攻撃時のみこのカードのむらさきぷよ、あかぷよを消したときに発生する数値を18倍にする さらに2ターンの間、相手全体の攻撃力を85％減少させる,味方全体の攻撃力を4.2倍、体力を3.2倍にし、受けるダメージを20％軽減する さらに通常攻撃時のみあかぷよを消した場合、味方全体のスキル発動ぷよ数を4個減らす,,
悪魔ほむら,★7,こうげき,紫,赤,5974,9843,1068,込み,シート,5.2,,,2ターンの間、ネクストぷよをむらさきぷよに変え、通常攻撃時のみこのカードのむらさきぷよ、あかぷよを消したときに発生する数値を21倍にする さらに2ターンの間、相手全体の攻撃力を90％減少させる,味方全体の攻撃力を5.2倍、体力を3.5倍にし、受けるダメージを20％軽減する さらに通常攻撃時のみあかぷよを消した場合、味方全体のスキル発動ぷよ数を5個減らす,①クエスト出発時とステージ移動時にフィールド上の色ぷよをランダムで2個チャンスぷよに変える ②味方全体のとくもりクリティカルの発動率をこのカードのとくもりクリティカルLv.×5%アップする(このとくもりスキルは重複可能),
悪魔ロック,★6,こうげき,,,,,,,シート,2.5,n連鎖以上×2.5(LS時のみ),,有利属性カードの「ターン」に＋3する,3連鎖以上で味方全体の攻撃力が2.5倍になる,,
悪魔ロック,★7,こうげき,,,,,,,シート,3.9,与ダメアップ×3.5; n連鎖以上×2.6(LS時のみ),,2ターンの間、味方全体の相手に与えるダメージを3.5倍にする さらにフィールド上の色ぷよを3個まで「プラス状態」にぬりかえ、有利属性カードのターン数を＋4する,味方全体の攻撃力を1.5倍、体力を2.5倍にし、3連鎖以上で攻撃力をさらに2.6倍にする,クエスト出発時とステージ移動時フィールド上の色ぷよをランダムで2個チャンスぷよに変える,
感覚の魔術師,★6,こうげき,,,,,,,シート,3.75,盾破壊×3.2,,1ターンの間、自属性盾のダメージカット後のダメージを3.2倍にする(ただしダメージカット前のダメージを上限とする),自属性カードの攻撃力と体力を2.5倍にし、こうげきタイプの攻撃力をさらに1.5倍にする,,
感覚の魔術師,★7,こうげき,,,,,,,シート,3.5,盾破壊×3.8,,1ターンの間、自属性盾のダメージカット後のダメージを3.8倍にする(ただしダメージカット前のダメージを上限とする),赤属性カードとこうげきタイプの攻撃力と体力を3.5倍にする,,
我妻善逸,★6,バランス,黄,,3020,4250,760,なし,シート,3.5,n属性以上の同時攻撃×4.0,麻痺×3,相手全体を6ターンの間、「麻痺」状態にし、2ターンの間、2属性以上の同時攻撃で味方全体の攻撃力を4倍にする,味方全体の攻撃力を3.5倍、体力を3倍にし、通常攻撃時のみハートBOXを1個消すごとにスキル発動ぷよ数を2減らす クエスト出発時1回のみフィールド上の色ぷよをランダムで1個ハートBOXに変える,,
我妻善逸,★7,バランス,黄,,6079,9775,1706,込み,シート,4.5,n属性以上の同時攻撃×5.0,麻痺×3,相手全体を6ターンの間、「麻痺」状態にし、2ターンの間、2属性以上の同時攻撃で味方全体の攻撃力を5倍にする,味方全体の攻撃力を4.5倍、体力を3.5倍にし、通常攻撃時のみハートBOXを1個消すごとにスキル発動ぷよ数を2減らす クエスト出発時1回のみフィールド上の色ぷよをランダムで2個ハートBOXに変える,,
戦乙女,★6,こうげき,,,,,,,シート,3.6,攻撃エンハ×2.5,,3ターンの間、味方の攻撃タイプカードの 攻撃力が2.5倍になる,味方全体の攻撃タイプの攻撃力が3.6倍、 自属性カードの回復力が2倍になる,,
戦乙女アコール先生,★6,バランス,青,紫,2250,4230,740,なし,シート,3.8,,,相手単体に味方全体がフィールド上の色ぷよの数×「こうげき」×1の属性攻撃を与え、フィールドをリセットする さらにその直後に落ちてくる色ぷよを連鎖のタネに変える,味方全体の攻撃力を3.8倍、体力を3倍にし、さらに相手ターン終了時にフィールド上の色ぷよをあおぷよ優先で4個「プラス状態」にする,,
戦乙女アコール先生,★7,バランス,青,紫,4963,9745,1679,込み,シート,4.8,,,相手単体に味方全体がフィールド上の色ぷよの数×「こうげき」×1.3の属性攻撃を与え、フィールドをリセットする さらにその直後に落ちてくる色ぷよを連鎖のタネに変える,味方全体の攻撃力を4.8倍、体力を3.5倍にし、さらに相手ターン終了時にフィールド上の色ぷよをあおぷよ優先で5個「プラス状態」にする,,
戦乙女アミティ,★7,バランス,黄,赤,5187,10025,2010,込み,シート,6.5,与ダメアップ×7.0; クリティカル倍率up×1.3,,3ターンの間、控え含む味方全体の相手に与えるダメージを5倍にし、黄属性カードがデッキに2体以上存在する場合、倍率をさらに40％アップする さらに控え含む味方全体の体力を50％回復し、このターン1回のみ直後に発動した味方1体のスキルを再度発動可能にする,味方全体の攻撃力を5倍、体力を3.5倍、回復力を2倍にし、通常攻撃時のみあかぷよを4個消すごとにスキル発動ぷよ数を4個減らす クエスト中の累計ぷよ消し数が240個以上の場合、味方全体の攻撃力をさらに1.3倍にする,①クエスト出発時とステージ移動時フィールド上の色ぷよをランダムで2個チャンスぷよに変える ②味方全体のとくもりクリティカルの発動率、ダメージアップ倍率をそれぞれこのカードのとくもりクリティカルLv.×5%、×3%アップする(このとくもりスキルは重複可能),
戦乙女アルル,★6,こうげき,黄,,3061,4037,303,なし,シート,3.5,,,フィールド上のすべての色ぷよを きいろぷよにする,味方全体の攻撃力を3.5倍、 体力が2.5倍にする,,
戦乙女アルル,★7,こうげき,黄,,6597,9355,1051,込み,シート,5.2,攻撃エンハ(特盛無条件)×1.8,,このスキル発動中、味方全体の攻撃力と回復力を2.8倍にし、フィールド上の色ぷよとハートBOXをすべてきいろぷよに変える,味方全体の攻撃力を5.2倍、体力を3.5倍、回復力を1.5倍にする,味方全体の攻撃力を1.8倍にする,
戦乙女アルル＆カーバンクル,★6,かいふく,青,黄,2200,4300,1840,なし,シート,4.2,攻撃エンハ×4.0; 〇ぷよを消した×1.2(LS時のみ),,2ターンの間、味方全体の攻撃力と回復力を4倍にする さらにフィールド上の色ぷよをランダムで4個「プラス状態」にする,青属性カードの攻撃力を3.5倍、体力を3倍、回復力を1.5倍にし、きいろぷよを消した場合攻撃力をさらに1.2倍にする 通常攻撃時のみ青属性カードをきいろぷよを消してもスキル発動ぷよ数が減るようにする,,
戦乙女アルル＆カーバンクル,★7,かいふく,青,黄,4830,10380,3644,込み,シート,5.2,攻撃エンハ×5.0; 〇ぷよを消した×1.3(LS時のみ),,2ターンの間、味方全体の攻撃力と回復力を5倍にする さらにフィールド上の色ぷよをランダムで6個「プラス状態」にする,青属性カードの攻撃力を4倍、体力を3.5倍、回復力を2倍にし、きいろぷよを消した場合攻撃力をさらに1.3倍にする 通常攻撃時のみ青属性カードをきいろぷよを消してもスキル発動ぷよ数が減るようにする,,
戦乙女ダークアルル,★6,こうげき,青,紫,2442,4246,150,なし,シート,3.5,,,フィールド上の色ぷよをすべてあおぷよに変え、その後フィールド上の色ぷよをランダムで8個プリズムボールに変える,スタメンの自属性カードが2枚以上から1枚増えるごとに 自属性の攻撃力倍率に0.5倍プラス 体力倍率に0.35倍プラス,,
戦乙女ダークアルル,★7,こうげき,青,紫,5607,9663,982,込み,シート,5.0,プリズム効果アップ×3.2,,フィールド上の色ぷよをすべてあおぷよに変え、その後フィールド上の色ぷよをランダムで12個プリズムボールに変える,スタメンの青属性カードが2枚以上から1枚増えるごとに青属性カードの攻撃力倍率に0.8倍プラス(最大5倍) 体力倍率に0.5倍プラス(最大3.5倍),プリズムボールを消した時の効果を3.2倍する,
戦乙女ドッペルゲンガーアルル,★6,こうげき,赤,黄,2630,4320,370,なし,シート,4.2,フィールド:いばらのサーカス×10,,2ターンの間、フィールド効果を「いばらのサーカス」にする さらに2ターンの間、なぞり消し数を5個増やし、同時消し係数を5.5倍にする,味方全体の攻撃力を4.2倍、体力を3.2倍にし、通常攻撃時のみあかぷよを消した場合、味方全体のスキル発動ぷよ数を4個減らす さらに味方が相手に状態異常を付与する場合、その状態異常のターン数を＋2する,,
戦乙女ドッペルゲンガーアルル,★7,こうげき,赤,黄,5958,9872,1153,込み,シート,5.2,フィールド:いばらのサーカス×10; 攻撃エンハ(特盛フィールド条件)×1.4,,3ターンの間、フィールド効果を「いばらのサーカス」にする さらに3ターンの間、なぞり消し数を5個増やし、同時消し係数を6倍にする,味方全体の攻撃力を5.2倍、体力を3.5倍にし、通常攻撃時のみあかぷよを消した場合、味方全体のスキル発動ぷよ数を5個減らす さらに味方が相手に状態異常を付与する場合、その状態異常のターン数を＋2する,フィールド効果展開中、味方全体の攻撃力を1.4倍にする,
戦乙女ペルヴィス,★6,たいりょく,紫,青,2300,5320,230,なし,シート,3.8,n属性以上の同時攻撃×3.0,,味方全体の状態異常を解除し、2ターンの間、3属性以上の同時攻撃でリーダーとサポーターの攻撃力を6倍に、それ以外の味方全体の攻撃力を3倍にする,味方全体の攻撃力を3.8倍、体力を3倍にし、クエスト出発時1回のみフィールド上の色ぷよをランダムで3個「プラス状態」にする さらに通常攻撃時のみ8個以上の同時消しで、味方全体のスキル発動ぷよ数を4個減らす,,
戦乙女ペルヴィス,★7,たいりょく,紫,青,4855,12544,1010,込み,シート,4.8,n属性以上の同時攻撃×4.0,,味方全体の状態異常を解除し、2ターンの間、3属性以上の同時攻撃でリーダーとサポーターの攻撃力を7倍に、それ以外の味方全体の攻撃力を4倍にする,味方全体の攻撃力を4.8倍、体力を3.5倍にし、クエスト出発時1回のみフィールド上の色ぷよをランダムで4個「プラス状態」にする さらに通常攻撃時のみ8個以上の同時消しで、味方全体のスキル発動ぷよ数を5個減らす,,
手塚国光,★6,バランス,紫,青,2240,4240,740,なし,シート,3.5,n属性以上の同時攻撃×4.0,,2ターンの間、2属性以上の同時攻撃で紫属性カードの攻撃力を4倍にし、紫属性カードが相手の属性攻撃を5倍にしてはねかえす,紫属性カードの攻撃力を3.5倍、体力を3倍、回復力を1.5倍にし、8個以上の同時消しでネクストぷよをランダムで1個チャンスぷよに変える,,
手塚国光,★7,バランス,紫,青,4948,9760,1679,込み,シート,4.5,n属性以上の同時攻撃×4.5,,2ターンの間、2属性以上の同時攻撃で紫属性カードの攻撃力を4.5倍にし、紫属性カードが相手の属性攻撃を10倍にしてはねかえす,紫属性カードの攻撃力を4.5倍、体力を3.5倍、回復力を1.5倍にし、8個以上の同時消しでネクストぷよをランダムで2個チャンスぷよに変える,,
折紙ソラ＆ロックギューラ,★7,こうげき,緑,青,4810,7930,862,込み,シート,3.0,,,1ターンの間、緑属性カードと青属性カードの通常攻撃をどの色の連鎖でも攻撃するようにし、色ぷよを消したときに発生する数値を1.2倍にする さらにフィールド上の色ぷよをランダムで2個「プラス状態」にする,緑属性カードと青属性カードの攻撃力と回復力を3倍にし、体力MAXの時に限り、緑属性カードと青属性カードの体力が0になっても「体力１」で踏みとどまる,,
探検家のりんご,★6,バランス,赤,,2769,5390,1074,込み,シート,1.0,,,相手の右から左に突き抜ける 20000の無属性ダメージ,バランスタイプの攻撃力を2000アップ,,
斎藤リスさん,★5,バランス,,,,,,,シート,1.0,,,,,,
斎藤リスさん/紫,★5,バランス,紫,,70,74,20,込み,シート,1.0,,,,,,
斎藤リスさん/緑,★5,バランス,緑,,46,146,20,込み,シート,1.0,,,,,,
斎藤リスさん/赤,★5,バランス,赤,,70,110,10,込み,シート,1.0,,,,,,
斎藤リスさん/青,★5,バランス,青,,58,74,30,込み,シート,1.0,,,,,,
斎藤リスさん/黄,★5,バランス,黄,,46,110,30,込み,シート,1.0,,,,,,
新どうぶつ,★6,バランス,,,,,,,シート,2.5,,,フィールド上の自色ぷよを消す このスキルによって消えた色ぷよはこのカード以外のスキル発動ぷよ数にカウントされる,バランスタイプの攻撃力と体力を2.5倍にする,,
